(8, 21, 22, 9) 41 [[-1/2, 0, 0, 1/2], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [1, 0, 1, 1/2]]
(8, 21, 22, 9) 41 [[-1/3, 0, 0, 1/3], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [1, 1/3, 0, 1/3]]
(8, 21, 22, 9) 41 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1/3, -2/3, 1/3], [0, 1, 0, 0], [1, 0, -1, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(8, 21, 22, 9) 41 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [1, 4, 0, -2], [1, 0, 1, 1/2]]
(8, 21, 22, 9) 41 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [0, 1, 1/3, 1/3], [1/3, -1/3, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(8, 21, 22, 9) 41 [[-1, -1, 1/2, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 0, 1], [1, 1, 1, 0]]
(8, 21, 22, 9) 41 [[0, -1/3, -1, 1/3], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1/3, -1/3, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(8, 21, 22, 9) 41 [[-1/2, -1, 1/2, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [1/4, 1, 1/2, 1/4]]
(8, 21, 22, 9) 41 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1/2, 0, 1/2, 3/2], [1, 1, 1, 0], [1, 1, 1, 1]]
(8, 21, 22, 9) 41 [[0, -1/3, -1, 1/3], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [2, 1, 1, -1]]
(8, 21, 22, 9) 41 [[0, -1/3, -1, 1/3], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1/3, 0, -1/3, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(8, 21, 22, 9) 41 [[-1/2, -1/2, 0, 1], [-1/3, 0, 0, 1/3], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(8, 21, 22, 9) 41 [[-1, 0, -2, 1/2], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, -1, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(8, 21, 22, 9) 41 [[0, -1/2, 0, 1/2], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [1/4, 1, 1/2, 1/4]]
(8, 21, 22, 9) 41 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 0, 1], [1, 1, 1, 0], [1, 1, 1/2, 0]]
(8, 21, 22, 9) 41 [[-1, 0, 1, -1], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 0, 1], [1, 1, 1, 0]]
